YEAR,SERIAL,REGION,NFAMS,PERNUM,RACE,AGE,SEX,EMPSTAT,OCC,UHRSWORKT,WKSTAT,JOBCERT,EDUC,INCWAGE,OINCWAGE
2017,83285,42,1,3,100,18,1,10,4140,997,41,,60,4000.0,0.0
2018,13999,12,1,5,805,5,2,0,0,999,99,,1,99999999.0,99999999.0
2021,17641,31,1,1,100,70,1,36,0,999,99,99.0,73,,
2013,30004,21,1,1,200,37,2,10,5840,36,11,,81,35000.0,0.0
2020,26420,33,1,3,100,23,2,34,0,999,99,99.0,81,,
2021,46613,21,2,4,100,18,2,10,4760,30,41,99.0,73,,
2021,11517,31,1,1,100,23,2,10,5740,40,11,99.0,73,,
2009,66500,33,2,4,100,9,1,0,0,999,99,,1,99999999.0,99999999.0
2019,40113,31,1,2,100,34,2,10,3500,20,41,,92,3200.0,0.0
2019,54087,11,1,1,100,59,1,10,1550,997,22,99.0,81,,
2021,1264,32,1,1,100,57,1,10,335,40,11,99.0,81,,
2012,80147,41,1,2,100,57,2,12,2300,40,13,,111,28800.0,0.0
2020,32179,21,1,1,100,32,2,10,5510,3,41,2.0,111,,
2021,76922,41,1,1,100,54,1,10,300,40,11,,123,150000.0,0.0
2018,4043,11,1,3,100,22,2,10,9640,40,11,,81,42000.0,0.0
2020,14064,31,1,1,200,22,2,21,800,999,50,99.0,92,,
2013,86254,42,1,5,100,34,2,10,4810,40,11,,81,743.0,743.0
2011,74145,41,1,2,100,80,2,36,0,999,99,,73,0.0,0.0
2021,67150,41,1,3,801,19,2,10,4230,6,41,99.0,73,,
2017,61065,33,1,1,100,80,1,36,0,999,99,,30,0.0,0.0
2021,35258,41,1,1,100,39,1,10,3090,60,11,2.0,124,,
2021,32291,32,1,1,100,85,2,36,0,999,99,99.0,73,,
2020,24210,22,1,5,100,26,1,10,8930,40,11,99.0,60,,
2009,50810,31,1,2,100,25,1,10,7200,40,11,,73,23500.0,0.0
2021,39750,41,1,2,100,66,2,10,800,40,11,2.0,111,,
2021,22237,21,1,1,100,63,2,36,0,999,99,99.0,73,,
2020,14942,31,2,3,100,33,2,10,440,40,12,99.0,81,,
2012,80020,41,1,2,100,38,2,34,0,999,99,,20,0.0,0.0
2019,39913,12,1,2,100,65,1,10,800,45,11,2.0,111,,
2014,83130,31,1,4,100,13,2,0,0,999,99,,1,99999999.0,99999999.0
2015,58831,32,1,3,651,13,2,0,0,999,99,,1,99999999.0,99999999.0
2020,6447,42,1,1,200,60,2,10,5550,40,11,99.0,73,,
2021,52564,11,1,1,100,80,2,36,0,999,99,99.0,73,,
2020,67016,33,1,2,100,66,1,10,4350,40,11,,111,50000.0,0.0
2020,5944,42,1,2,100,74,1,36,0,999,99,99.0,124,,
2013,91305,42,1,2,100,59,2,36,0,999,99,,125,0.0,0.0
2020,1068,32,1,4,100,4,1,0,0,999,99,99.0,1,,
2009,76004,41,3,3,100,48,1,10,4250,40,11,,73,14000.0,0.0
2020,32088,22,1,1,100,54,1,10,850,40,11,2.0,111,,
2020,29808,11,1,2,100,51,2,32,0,999,99,99.0,2,,
2020,3771,33,1,3,100,5,2,0,0,999,99,99.0,1,,
2022,22540,21,1,1,100,44,2,10,1760,40,11,99.0,111,,
2019,70121,41,1,3,100,7,2,0,0,999,99,99.0,1,,
2021,8309,42,1,1,100,28,1,10,9130,40,11,99.0,71,,
2012,87484,42,1,1,200,25,2,10,1020,40,11,,123,90000.0,0.0
2022,30813,21,1,3,100,16,1,34,0,999,99,99.0,50,,
2012,60533,32,1,6,200,0,2,0,0,999,99,,1,99999999.0,99999999.0
2020,20694,21,1,2,200,16,2,34,0,999,99,99.0,40,,
2016,21979,21,1,1,100,32,1,10,4760,35,11,,73,26000.0,0.0
2021,19729,41,1,2,100,50,2,10,10,40,11,99.0,123,,
2021,7463,42,1,2,100,31,2,10,440,997,11,99.0,73,,
2020,11183,31,1,2,100,2,1,0,0,999,99,99.0,1,,
2020,69487,41,1,3,100,12,1,0,0,999,99,99.0,1,,
2020,32692,22,1,1,100,23,1,10,1450,40,11,99.0,111,,
2019,65906,33,1,2,100,28,2,10,430,997,11,,92,38800.0,3800.0
2018,42450,31,1,1,200,43,2,34,0,999,99,,91,0.0,0.0
2020,37685,31,1,1,100,46,2,10,4230,60,11,,73,45000.0,15000.0
2011,35543,22,1,2,300,49,1,32,0,999,99,,73,0.0,0.0
2021,65224,42,1,1,100,57,2,10,2002,50,11,2.0,123,,
2019,16084,31,1,1,651,77,1,10,8965,40,11,2.0,123,,
2010,71991,33,1,1,100,33,1,32,0,999,99,,2,0.0,0.0
2020,43357,12,1,3,100,16,1,34,0,999,99,99.0,50,,
2015,79343,41,1,2,651,32,2,10,4530,20,41,,111,4500.0,0.0
2010,26632,21,1,1,100,54,1,12,3010,40,13,,124,409068.0,0.0
2020,5800,42,1,2,651,76,2,36,0,999,99,99.0,81,,
2020,29873,22,1,2,100,39,2,10,4600,59,11,,73,0.0,0.0
2020,74453,41,1,5,100,9,1,0,0,999,99,,1,99999999.0,99999999.0
2021,2252,42,1,4,100,3,2,0,0,999,99,99.0,1,,
2022,22899,21,1,4,100,3,2,0,0,999,99,99.0,1,,
2021,49981,42,1,5,100,19,1,34,0,999,99,99.0,73,,
2020,25308,32,1,1,100,68,2,32,0,999,99,99.0,123,,
2020,3653,33,1,2,100,27,2,10,3255,40,12,2.0,92,,
2010,2541,11,1,1,100,31,1,10,1000,40,11,,111,40000.0,0.0
2021,61403,11,1,1,100,77,1,36,0,999,99,99.0,111,,
2019,47518,22,1,1,100,63,1,10,3510,35,11,99.0,73,,
2020,34330,32,1,1,100,79,2,36,0,999,99,99.0,73,,
2018,73197,41,1,1,100,56,1,10,540,55,11,,92,50000.0,0.0
2019,19583,41,1,2,100,56,1,10,1020,40,12,99.0,92,,
2022,10637,11,1,1,100,61,2,10,2300,35,11,2.0,111,,
2020,51122,12,1,1,100,52,2,10,3870,40,11,99.0,81,,
2013,24071,21,1,1,100,53,1,10,5620,40,11,,73,37000.0,0.0
2020,53171,11,1,4,100,6,1,0,0,999,99,99.0,1,,
2021,35537,41,1,1,100,28,2,10,750,46,11,2.0,81,,
2020,68134,41,1,2,100,35,1,10,220,70,11,,111,21000.0,21000.0
2014,32042,31,1,2,100,64,1,36,0,999,99,,123,0.0,0.0
2020,6088,42,1,1,651,63,2,10,3255,32,41,2.0,111,,
2021,46089,22,1,5,100,6,2,0,0,999,99,99.0,1,,
2022,47512,21,1,1,100,24,1,10,7340,40,11,99.0,91,,
2020,49024,21,1,3,100,16,1,34,0,999,99,99.0,40,,
2021,59928,41,1,3,100,18,1,10,4251,40,11,99.0,73,,
2020,32103,22,1,1,100,54,2,10,4600,35,11,99.0,73,,
2020,68172,41,1,2,100,38,1,34,0,999,99,99.0,92,,
2021,54199,31,1,1,100,62,2,10,230,40,11,99.0,111,,
2017,74570,41,1,1,100,62,2,10,2300,40,11,,123,43000.0,0.0
2017,42658,31,1,3,100,20,1,34,0,999,99,,81,0.0,0.0
2020,67895,41,1,1,100,72,2,32,0,999,99,99.0,81,,
2020,64668,42,1,4,100,26,1,10,7210,40,11,2.0,91,,
2020,33565,32,1,2,100,43,2,10,4055,40,11,99.0,73,,
2010,9642,11,2,2,200,85,1,36,0,999,99,,73,0.0,0.0
2018,2174,11,2,7,100,34,1,34,0,999,99,,73,0.0,0.0
2016,18134,21,1,3,100,17,1,34,0,999,99,,60,0.0,0.0
2020,60565,33,1,2,100,69,2,36,0,999,99,99.0,111,,
2019,58832,33,1,2,100,42,1,10,4700,45,11,,91,175000.0,0.0
2014,94198,42,1,1,100,46,2,10,5700,40,11,,81,55000.0,0.0
2021,47915,21,1,1,100,44,1,10,7750,40,11,99.0,73,,
2020,306,32,1,2,100,72,2,36,0,999,99,99.0,81,,
2020,55563,32,1,2,100,33,2,10,8300,40,11,99.0,20,,
2009,77597,41,1,4,100,9,2,0,0,999,99,,1,99999999.0,99999999.0
2020,10093,41,1,2,100,6,2,0,0,999,99,99.0,1,,
2021,32574,32,1,4,100,16,1,34,0,999,99,99.0,60,,
2020,46976,22,1,1,100,60,1,10,9130,40,11,99.0,81,,
2021,50984,42,1,4,100,29,1,10,5510,10,22,99.0,73,,
2020,46265,22,1,3,100,57,2,10,3500,40,11,99.0,92,,
2021,44908,31,1,2,100,35,2,10,4920,997,11,2.0,73,,
2021,47454,21,1,1,100,42,2,10,3255,60,11,2.0,92,,
2021,18045,21,1,3,100,18,2,34,0,999,99,,60,0.0,0.0
2021,4948,42,1,1,651,60,1,10,4710,40,11,99.0,125,,
2011,31817,22,1,5,802,9,1,0,0,999,99,,1,99999999.0,99999999.0
2020,891,32,1,3,100,5,2,0,0,999,99,99.0,1,,
2020,36658,22,1,1,100,25,1,10,8810,45,11,99.0,73,,
2022,10021,41,1,1,200,36,2,10,5860,40,11,99.0,81,,
2022,52287,12,1,1,100,62,1,10,4920,80,11,2.0,73,,
2021,6924,42,1,1,100,33,2,10,4720,40,11,99.0,50,,
2021,19960,21,1,3,651,8,1,0,0,999,99,99.0,1,,
2009,2118,11,1,1,100,37,1,10,6320,40,11,,73,32000.0,0.0
2009,32817,22,1,1,100,85,2,36,0,999,99,,73,0.0,0.0
2021,41004,31,1,1,100,54,1,34,0,999,99,,30,4400.0,0.0
2018,91428,42,1,1,651,57,2,10,2340,40,11,,125,85000.0,0.0
2020,59697,33,1,5,200,9,1,0,0,999,99,,1,99999999.0,99999999.0
2021,58009,33,2,2,100,30,2,10,4810,40,11,2.0,92,,
2016,79306,41,1,2,100,23,1,10,6320,997,11,,60,38000.0,0.0
2020,14097,31,1,2,100,6,2,0,0,999,99,99.0,1,,
2019,71166,41,1,2,100,43,2,10,2100,40,11,,125,150000.0,0.0
2020,74068,41,1,1,100,38,1,10,2100,40,11,,124,150000.0,0.0
2022,3906,33,1,2,100,38,2,10,4820,40,11,2.0,111,,
2013,22912,21,1,3,100,4,2,0,0,999,99,,1,99999999.0,99999999.0
2021,34292,22,1,3,651,19,2,34,0,999,99,99.0,81,,
2020,29450,11,1,3,652,13,1,0,0,999,99,99.0,1,,
2013,38584,22,1,1,100,70,1,10,205,45,11,,73,0.0,0.0
2021,40837,41,1,1,100,46,2,21,4720,999,50,99.0,50,,
2011,20570,21,1,1,200,65,2,34,0,999,99,,81,25000.0,0.0
2015,20354,21,1,3,100,14,2,0,0,999,99,,1,99999999.0,99999999.0
2020,61029,33,1,4,100,17,1,34,0,999,99,99.0,60,,
2020,2202,42,1,2,804,3,1,0,0,999,99,99.0,1,,
2018,4136,11,1,2,100,20,2,34,0,999,99,,81,3500.0,0.0
2020,45074,31,1,2,100,32,1,10,440,997,12,99.0,81,,
2014,39839,31,1,7,100,2,2,0,0,999,99,,1,99999999.0,99999999.0
2009,21539,21,1,3,100,38,2,32,0,999,99,,73,0.0,0.0
2016,805,11,1,4,100,30,2,10,2300,40,12,,73,18000.0,0.0
2019,84557,42,1,4,100,13,2,0,0,999,99,,1,99999999.0,99999999.0
2011,52571,31,1,2,100,61,2,10,2630,997,11,,73,52000.0,0.0
2020,37232,22,3,1,100,30,1,10,800,40,11,2.0,111,,
2021,65788,31,1,1,100,80,2,36,0,999,99,99.0,111,,
2017,30792,22,1,1,100,80,2,10,4230,10,41,,30,0.0,0.0
2017,51502,31,1,2,200,51,2,10,3500,24,41,,81,24000.0,0.0
2021,68613,41,1,1,100,40,2,10,5000,38,12,,73,60000.0,0.0
2020,51286,42,1,3,100,3,1,0,0,999,99,99.0,1,,
2020,46063,31,1,1,100,43,1,10,110,60,11,99.0,73,,
2022,44235,31,1,2,100,69,1,10,3090,25,41,2.0,124,,
2018,22954,21,1,8,100,7,2,0,0,999,99,,1,99999999.0,99999999.0
2020,51186,42,2,3,100,18,1,34,0,999,99,99.0,73,,
2011,2384,11,1,1,100,41,1,10,4760,45,11,,60,24000.0,0.0
2021,55377,32,1,3,100,28,2,10,3610,997,12,2.0,123,,
2020,8358,42,1,2,100,73,1,10,440,40,11,2.0,81,,
2021,8686,42,1,2,100,59,1,12,220,40,13,99.0,81,,
2019,9469,42,1,2,100,57,1,32,0,999,99,99.0,73,,
2021,57765,33,1,3,100,16,1,34,0,999,99,,60,0.0,0.0
2020,46626,31,1,7,100,12,2,0,0,999,99,99.0,1,,
2022,67455,41,1,4,100,4,2,0,0,999,99,99.0,1,,
2020,56121,32,1,1,100,35,2,10,3655,9,22,99.0,123,,
2022,21821,21,1,3,100,17,2,34,0,999,99,99.0,60,,
2019,26871,33,1,3,100,6,1,0,0,999,99,99.0,1,,
2021,68676,41,1,1,100,62,2,10,2145,38,11,,73,40000.0,0.0
2020,611,32,1,1,100,54,2,10,5740,40,11,99.0,81,,
2021,6980,42,2,2,651,56,1,36,0,999,99,99.0,81,,
2020,12392,31,1,1,200,85,2,32,0,999,99,99.0,30,,
2020,5880,42,1,1,100,70,1,36,0,999,99,99.0,81,,
2021,47295,31,1,4,100,57,1,34,0,999,99,,111,0.0,0.0
2021,14463,31,1,2,651,57,2,10,5160,40,11,99.0,111,,
2022,41803,12,1,1,100,85,2,36,0,999,99,99.0,111,,
2020,8513,42,1,3,100,63,2,10,5000,40,11,99.0,73,,
2020,2894,41,1,4,100,21,1,10,2050,20,41,99.0,81,,
2012,19553,21,1,3,100,21,1,10,4800,20,41,,81,0.0,0.0
2017,3731,11,1,3,100,13,1,0,0,999,99,,1,99999999.0,99999999.0
2021,17629,31,1,2,200,70,2,10,3603,40,11,2.0,73,,
2010,33079,22,1,5,100,1,2,0,0,999,99,,1,99999999.0,99999999.0
2020,4541,33,1,1,200,38,2,32,0,999,99,99.0,111,,
2021,64563,31,1,1,100,79,1,36,0,999,99,99.0,111,,
2012,51773,31,1,3,200,16,1,34,0,999,99,,30,0.0,0.0
2020,46024,31,1,1,100,52,2,10,5000,40,11,99.0,92,,
2019,30429,22,1,1,100,85,1,36,0,999,99,,30,0.0,0.0
2021,9334,42,1,5,100,6,1,0,0,999,99,99.0,1,,
2011,90793,42,1,2,100,21,1,21,5620,999,60,,81,2500.0,0.0
2011,51336,31,1,1,100,85,2,36,0,999,99,,20,0.0,0.0
2021,17927,31,1,2,100,59,1,10,3910,997,12,2.0,111,,
2020,46905,22,1,2,100,52,2,10,1822,40,11,2.0,123,,
2021,54770,22,1,5,100,9,2,0,0,999,99,99.0,1,,
2020,27038,33,1,2,200,4,1,0,0,999,99,99.0,1,,
2021,26983,33,1,3,200,0,1,0,0,999,99,99.0,1,,
2022,55407,32,1,2,200,15,2,34,0,999,99,99.0,40,,
2021,30708,21,1,1,200,46,2,10,5540,45,11,99.0,91,,
2021,63475,31,1,4,100,17,2,34,0,999,99,99.0,50,,
2020,51039,42,1,3,100,15,1,34,0,999,99,99.0,50,,
2009,62137,32,1,1,200,32,2,34,0,999,99,,81,1060.0,0.0
2018,20606,21,1,3,100,14,1,0,0,999,99,,1,99999999.0,99999999.0
2017,21159,21,1,2,100,50,2,10,4920,40,11,,111,130000.0,0.0
2020,66143,31,1,1,100,71,1,10,4850,40,11,99.0,111,,
2021,38727,11,1,4,100,6,2,0,0,999,99,99.0,1,,
2019,14026,12,1,1,100,64,2,10,120,40,12,,73,50000.0,0.0
2022,66220,31,1,5,100,13,2,0,0,999,99,99.0,1,,
2021,15210,21,1,1,100,24,1,10,4251,35,21,,81,4500.0,0.0
2011,16383,12,1,2,100,68,1,10,710,27,22,,111,120000.0,0.0
2021,33686,22,2,1,200,46,1,21,6355,999,50,99.0,73,,
2020,57060,32,1,1,100,57,1,10,1006,41,11,99.0,123,,
2021,17508,31,1,2,100,30,2,34,0,999,99,99.0,91,,
2021,2326,41,1,2,100,36,2,10,4510,30,41,2.0,73,,
2014,71245,11,1,4,100,14,1,0,0,999,99,,1,99999999.0,99999999.0
2009,96135,42,1,4,652,31,1,21,6320,999,50,,91,75000.0,10000.0
2020,49603,21,1,1,100,73,1,36,0,999,99,99.0,73,,
2022,37924,11,2,7,100,52,1,32,0,999,99,99.0,60,,
2011,65479,33,1,2,100,49,2,34,0,999,99,,73,0.0,0.0
2014,26745,22,1,1,100,47,1,10,4920,50,11,,81,60000.0,0.0
2018,4162,11,1,2,100,44,2,34,0,999,99,,111,0.0,0.0
2020,37037,22,1,1,100,71,1,10,4760,997,11,99.0,92,,
2018,35819,31,1,1,200,78,2,36,0,999,99,,81,0.0,0.0
2020,68524,41,1,1,100,78,1,36,0,999,99,99.0,111,,
2021,66150,31,1,2,100,55,1,10,8225,40,11,99.0,73,,
2021,29069,11,1,2,100,56,1,36,0,999,99,99.0,81,,
2017,18680,21,1,2,100,54,2,10,5540,37,11,,73,75000.0,0.0
2015,31701,22,1,5,100,6,2,0,0,999,99,,1,99999999.0,99999999.0
2021,52196,12,1,1,100,74,1,36,0,999,99,99.0,125,,
2021,150,32,1,3,100,10,2,0,0,999,99,99.0,1,,
2018,72011,41,1,3,100,4,2,0,0,999,99,,1,99999999.0,99999999.0
2020,22032,21,1,1,100,34,1,10,4020,40,11,99.0,73,,
2021,62084,31,1,2,100,77,2,36,0,999,99,99.0,111,,
2021,50420,42,1,3,651,4,1,0,0,999,99,99.0,1,,
2020,46461,31,1,1,100,41,2,10,1032,40,11,99.0,81,,
2015,95981,42,1,2,100,56,2,10,4610,16,22,,60,7800.0,0.0
2016,46279,31,1,2,200,48,2,10,800,40,11,,91,40000.0,0.0
2021,61121,41,1,1,100,47,1,10,440,40,11,99.0,123,,
2017,32011,22,1,4,100,2,1,0,0,999,99,,1,99999999.0,99999999.0
2021,42068,31,1,2,100,39,1,10,4850,45,11,,123,100001.0,0.0
2020,2003,42,1,3,802,8,2,0,0,999,99,99.0,1,,
2020,50072,42,2,3,100,44,1,10,5510,997,41,99.0,73,,
2021,46477,21,1,2,200,42,1,32,0,999,99,99.0,73,,
2021,59465,33,1,2,100,50,1,10,6442,40,11,2.0,40,,
2013,84579,42,1,3,100,6,2,0,0,999,99,,1,99999999.0,99999999.0
2019,51354,42,1,3,100,85,2,36,0,999,99,99.0,73,,
2009,51627,31,1,1,200,32,2,10,620,30,22,,111,35000.0,0.0
2021,46619,22,1,1,100,77,2,36,0,999,99,99.0,73,,
2017,19909,21,1,2,100,1,1,0,0,999,99,,1,99999999.0,99999999.0
2010,78726,41,1,2,100,23,2,10,4220,24,41,,73,10000.0,0.0
2020,65084,31,1,1,200,62,2,10,940,20,41,99.0,81,,
2020,84124,42,1,1,200,49,2,34,0,999,99,,73,0.0,0.0
2021,24569,32,1,1,100,67,2,36,0,999,99,99.0,81,,
2021,41590,41,1,2,100,54,2,12,710,45,13,99.0,111,,
2021,21378,21,1,1,100,62,1,10,140,40,11,99.0,125,,
2011,87970,42,1,5,100,61,1,36,0,999,99,,30,0.0,0.0
2014,42254,32,1,3,100,2,1,0,0,999,99,,1,99999999.0,99999999.0
2011,53026,31,1,1,200,49,2,32,0,999,99,,92,0.0,0.0
2015,69760,33,1,1,100,62,1,36,0,999,99,,111,0.0,0.0
2017,85942,42,1,3,100,19,2,34,0,999,99,,81,16002.0,0.0
2017,31008,22,1,1,100,69,1,10,2040,25,41,,123,10000.0,0.0
2018,132,11,1,2,100,32,1,10,9300,75,11,,111,53000.0,0.0
2019,17740,31,1,2,200,74,2,36,0,999,99,99.0,111,,
2018,65263,33,1,2,100,47,2,34,0,999,99,,91,0.0,0.0
2011,76347,41,1,1,100,32,1,21,6230,999,50,,50,35000.0,0.0
2020,20481,21,1,2,100,62,2,12,4220,24,42,,73,12000.0,0.0
2011,79220,41,2,1,100,45,2,10,4020,997,22,,81,6300.0,0.0
2020,66915,21,3,3,200,68,1,32,0,999,99,99.0,50,,
2021,35490,41,1,1,100,31,2,10,910,40,11,99.0,111,,
2020,52573,12,1,2,100,73,2,36,0,999,99,99.0,73,,
2021,16849,31,1,1,200,29,2,10,4720,40,11,99.0,73,,
2021,59349,33,1,5,100,10,2,0,0,999,99,99.0,1,,
2010,53033,31,1,4,651,5,1,0,0,999,99,,1,99999999.0,99999999.0
2019,47485,22,1,1,100,69,2,36,0,999,99,99.0,73,,
2020,12053,31,1,1,100,58,1,10,7315,997,11,99.0,73,,
2021,32829,32,1,2,100,27,1,10,5940,42,11,99.0,73,,
2016,58463,32,1,4,100,14,1,0,0,999,99,,1,99999999.0,99999999.0
2018,13073,12,1,3,100,17,1,21,9620,999,60,,60,1400.0,0.0
2020,60930,41,1,1,100,39,1,10,8810,50,11,99.0,73,,
2020,7068,42,1,5,100,8,1,0,0,999,99,99.0,1,,
2011,62542,32,1,1,100,58,1,10,410,55,11,,111,150000.0,0.0
2020,21752,21,1,1,100,31,2,10,120,40,11,,111,50000.0,0.0
2021,58754,33,1,1,200,47,2,10,440,40,11,99.0,111,,
2020,44462,31,1,4,200,9,2,0,0,999,99,99.0,1,,
2022,43849,12,1,1,100,63,2,36,0,999,99,99.0,125,,
2019,31424,21,1,2,100,66,2,36,0,999,99,99.0,111,,
2016,43640,31,1,1,200,62,1,10,2040,35,21,,123,24000.0,0.0
2020,24667,22,1,3,200,0,1,0,0,999,99,99.0,1,,
2009,11789,12,1,2,300,27,1,10,110,40,11,,111,49000.0,0.0
2011,35987,22,1,2,100,36,1,10,220,50,11,,91,60000.0,0.0
2009,23019,21,1,2,100,33,1,10,4020,40,11,,60,15000.0,0.0
2021,10116,41,1,2,100,68,2,36,0,999,99,99.0,123,,
2013,59703,31,1,4,100,9,1,0,0,999,99,,1,99999999.0,99999999.0
2021,19731,41,1,2,100,45,2,32,0,999,99,99.0,91,,
2021,10724,12,1,2,100,34,2,21,4810,999,50,,81,50000.0,0.0
2021,1525,42,1,2,100,78,1,36,0,999,99,99.0,73,,
2021,13648,31,1,1,100,37,2,10,4920,25,41,2.0,73,,
2010,17876,12,1,3,100,15,2,34,0,999,99,,40,0.0,0.0
2020,38850,12,1,2,651,27,2,34,0,999,99,99.0,123,,
2021,66319,33,1,2,100,53,1,10,52,60,11,,111,167562.0,0.0
2021,3082,41,1,2,100,59,2,36,0,999,99,99.0,91,,
2020,24664,22,1,4,100,3,2,0,0,999,99,99.0,1,,
2021,22531,21,1,1,100,45,2,10,20,38,11,99.0,73,,
2020,4727,42,1,5,651,70,2,36,0,999,99,99.0,30,,
2021,56256,32,5,1,200,35,2,10,5860,40,12,99.0,73,,
2021,50935,12,1,3,100,5,1,0,0,999,99,99.0,1,,
2021,55522,32,1,1,100,79,2,36,0,999,99,99.0,111,,
2018,89397,42,1,3,651,12,2,0,0,999,99,,1,99999999.0,99999999.0
2021,66965,31,1,1,100,49,2,10,4230,40,12,99.0,81,,
2020,3546,33,1,4,100,12,2,0,0,999,99,99.0,1,,
2021,56710,33,1,1,100,45,1,10,440,997,11,99.0,20,,
2020,56644,32,1,5,100,4,2,0,0,999,99,99.0,1,,
2014,44687,33,1,5,100,1,2,0,0,999,99,,1,99999999.0,99999999.0
2015,29136,22,1,6,100,11,2,0,0,999,99,,1,99999999.0,99999999.0
2022,23302,22,1,2,100,61,2,12,6050,20,42,1.0,91,,
2021,44181,31,1,4,100,27,1,10,4030,30,41,99.0,81,,
2020,1716,42,1,1,300,47,1,10,4760,50,11,99.0,81,,
2019,27087,33,1,1,100,48,2,12,3500,40,13,2.0,91,,
2020,27491,11,1,1,100,64,2,10,3601,27,41,99.0,73,,
2021,7203,42,1,4,100,13,2,0,0,999,99,99.0,1,,
2021,41203,41,1,1,100,30,2,34,0,999,99,99.0,40,,
2014,14264,21,1,4,100,17,2,10,4720,13,41,,60,2300.0,0.0
2012,2118,11,1,1,100,37,1,10,810,40,11,,111,25000.0,0.0
2020,18283,42,1,2,100,75,2,36,0,999,99,99.0,73,,
2019,72512,41,1,2,100,73,2,36,0,999,99,,20,0.0,0.0
2020,35350,22,1,1,100,57,2,10,4760,40,11,99.0,81,,
2020,62510,11,1,1,100,49,2,10,4700,22,22,99.0,81,,
2020,4118,33,1,1,100,69,2,36,0,999,99,99.0,71,,
2021,71784,41,1,2,100,39,1,10,6230,40,11,,40,40000.0,0.0
2017,3448,11,1,1,100,56,1,34,0,999,99,,60,12000.0,0.0
2020,23023,22,1,2,100,52,2,10,5710,5,41,99.0,111,,
2020,27482,22,1,2,100,74,2,10,4710,40,11,,81,50000.0,0.0
2020,57390,33,1,2,806,45,1,10,3930,60,11,99.0,92,,
2020,11824,31,1,1,100,68,2,36,0,999,99,99.0,111,,
2021,43115,12,1,1,200,33,2,10,3090,40,11,99.0,124,,
2021,17397,31,1,2,200,18,2,10,5240,997,41,99.0,73,,
2016,44238,31,1,5,100,21,2,10,4720,35,11,,73,7000.0,0.0
2018,90486,42,1,3,651,57,2,36,0,999,99,,111,0.0,0.0
2016,33797,31,1,1,200,53,2,10,4720,32,41,,81,18000.0,0.0
2015,38254,31,1,1,100,42,1,10,5600,40,11,,73,70000.0,0.0
2021,3798,33,1,4,100,4,1,0,0,999,99,99.0,1,,
2018,3734,11,1,4,100,18,2,34,0,999,99,,81,0.0,0.0
2020,27589,11,1,1,100,68,2,36,0,999,99,99.0,111,,
2010,20683,21,1,1,200,47,1,10,4000,60,11,,123,45000.0,0.0
2017,13008,12,1,2,100,51,1,10,5610,40,12,,73,30000.0,0.0
2019,79491,41,1,4,100,14,1,0,0,999,99,,1,99999999.0,99999999.0
2021,62522,31,1,2,802,71,1,10,5610,20,41,1.0,111,,
2020,65153,31,1,2,100,71,2,36,0,999,99,99.0,92,,
2021,4501,33,1,2,200,53,1,10,7020,40,11,2.0,81,,
2015,39156,31,1,2,200,70,1,36,0,999,99,,50,0.0,0.0
2020,45593,31,1,3,200,2,2,0,0,999,99,99.0,1,,
2014,56473,41,1,2,100,4,2,0,0,999,99,,1,99999999.0,99999999.0
2020,86627,42,1,1,200,56,2,32,0,999,99,,92,0.0,0.0
2020,10915,11,1,6,100,18,2,10,4030,30,41,99.0,73,,
2019,13452,31,1,4,100,21,1,10,4700,40,11,99.0,81,,
2022,9813,41,1,3,100,7,2,0,0,999,99,99.0,1,,
2020,44479,12,1,4,100,23,2,10,2910,40,11,99.0,111,,
2021,37900,41,1,4,100,40,1,10,310,40,11,99.0,92,,
2015,39991,31,1,2,100,41,2,21,430,999,50,,111,16000.0,0.0
2010,83055,41,1,1,651,38,2,10,3130,32,41,,111,60000.0,0.0
2019,63792,11,1,2,100,80,1,36,0,999,99,99.0,73,,
2022,9027,42,1,1,100,46,1,34,0,999,99,99.0,60,,
2020,5462,42,1,5,100,12,1,0,0,999,99,99.0,1,,
2021,14599,31,1,1,100,75,1,10,4920,997,12,2.0,81,,
2010,11100,12,1,1,100,76,2,36,0,999,99,,60,0.0,0.0
2021,62813,31,1,2,100,58,1,10,6260,45,11,99.0,73,,
2021,52143,12,1,2,100,32,2,34,0,999,99,99.0,73,,
2019,77671,41,5,1,100,22,2,10,4150,30,41,,92,5100.0,3500.0
2022,5116,42,1,1,100,40,1,10,6260,40,11,99.0,30,,
2020,38410,41,1,1,200,71,1,36,0,999,99,99.0,73,,
2020,15188,31,1,6,200,15,1,34,0,999,99,99.0,30,,
2011,86355,42,1,3,100,16,1,34,0,999,99,,60,0.0,0.0
2021,43416,12,1,2,100,25,2,34,0,999,99,99.0,73,,
2021,46194,22,1,1,100,68,2,36,0,999,99,99.0,92,,
2020,37373,22,1,6,100,19,2,34,0,999,99,99.0,73,,
2019,3529,33,1,3,652,6,2,0,0,999,99,99.0,1,,
2018,84418,42,2,2,100,61,1,10,4250,40,11,,73,48000.0,0.0
2010,57217,31,2,2,100,34,2,10,4110,30,22,,73,10500.0,0.0
2011,23657,21,1,1,100,50,2,10,5700,38,11,,81,35000.0,0.0
2012,35720,22,1,4,300,9,1,0,0,999,99,,1,99999999.0,99999999.0
2020,47047,21,1,3,100,9,2,0,0,999,99,99.0,1,,
2021,30192,21,1,3,100,59,1,34,0,999,99,99.0,92,,
